event_id,start_date,end_date,duration_days,minimum_flow_m3s,deficit_volume_m3,mean_daily_deficit_m3s,left_censored,right_censored
31,1989-08-29,1989-09-13,16,0.23,38880.00000000003,0.028125000000000018,False,False
32,1989-09-15,1989-09-15,1,0.272,172.80000000000015,0.0020000000000000018,False,False
33,1989-09-23,1989-10-19,27,0.222,60307.20000000004,0.025851851851851872,False,False
34,1989-10-21,1989-11-02,13,0.238,28771.200000000026,0.025615384615384637,False,False
35,1989-11-04,1989-11-07,4,0.26,3456.000000000003,0.010000000000000009,False,False
36,1989-11-19,1989-11-27,9,0.264,5961.600000000006,0.007666666666666673,False,False
37,1989-12-03,1989-12-03,1,0.265,777.6000000000007,0.009000000000000008,False,False
38,1989-12-06,1989-12-12,7,0.262,4320.000000000004,0.00714285714285715,False,False
39,1990-06-16,1990-06-21,6,0.242,10022.400000000009,0.01933333333333335,False,False
40,1990-06-25,1990-06-30,6,0.24,11923.20000000001,0.02300000000000002,False,False
41,1990-07-03,1990-07-03,1,0.262,1036.8000000000009,0.01200000000000001,False,False
42,1990-07-08,1990-08-18,42,0.148,308793.6000000001,0.08509523809523811,False,False
43,1990-08-21,1990-08-24,4,0.2,16329.600000000006,0.047250000000000014,False,True
44,1990-08-26,1990-09-27,33,0.166,253497.60000000006,0.08890909090909092,True,True
45,1990-09-29,1990-09-29,1,0.199,6480.000000000001,0.07500000000000001,True,True
46,1990-10-01,1990-10-12,12,0.19,58492.80000000002,0.05641666666666669,True,True
47,1990-10-14,1990-10-17,4,0.176,33177.60000000001,0.09600000000000003,True,True
48,1991-06-01,1991-06-01,1,0.269,432.0000000000004,0.0050000000000000044,False,False
49,1991-06-11,1991-06-14,4,0.264,1296.0000000000011,0.0037500000000000033,False,False
50,1991-06-22,1991-06-23,2,0.271,432.00000000000034,0.0025000000000000022,False,False
51,1991-06-29,1991-11-18,143,0.118,1196985.6000000003,0.0968811188811189,False,False
52,1991-11-27,1991-12-17,21,0.208,76982.40000000004,0.04242857142857145,False,False
53,1992-05-20,1992-05-28,9,0.23,20736.000000000015,0.026666666666666686,False,False
54,1992-06-01,1992-07-12,42,0.152,276998.4000000001,0.07633333333333335,False,True
55,1992-07-14,1992-07-23,10,0.174,57974.400000000016,0.06710000000000002,True,True
56,1992-07-25,1992-08-20,27,0.127,300931.20000000007,0.12900000000000003,True,True
57,1992-08-22,1992-10-20,60,0.121,538617.6000000001,0.10390000000000002,True,False
58,1992-10-23,1992-10-24,2,0.254,3024.0000000000027,0.017500000000000016,False,False
59,1992-10-31,1992-11-02,3,0.261,1555.2000000000014,0.006000000000000005,False,False
60,1992-11-06,1992-11-09,4,0.255,4320.000000000004,0.012500000000000011,False,False
61,1993-08-20,1993-08-20,1,0.273,86.40000000000008,0.0010000000000000009,False,False
62,1993-09-01,1993-09-02,2,0.272,259.2000000000002,0.0015000000000000013,False,False
63,1993-09-04,1993-09-08,5,0.267,2073.6000000000017,0.004800000000000004,False,False
64,1993-09-10,1993-09-11,2,0.268,691.2000000000006,0.0040000000000000036,False,False
65,1996-05-21,1996-05-21,1,0.271,259.2000000000002,0.0030000000000000027,False,False
66,1996-05-31,1996-08-28,90,0.125,790560.0000000002,0.1016666666666667,False,False
67,1996-09-02,1996-10-27,56,0.169,383875.2000000001,0.07933928571428574,False,False
68,1996-10-31,1996-11-06,7,0.236,9417.600000000008,0.015571428571428585,False,False
69,1997-08-08,1997-08-22,15,0.234,29462.400000000023,0.022733333333333352,False,False
70,1997-09-02,1997-10-07,36,0.222,107654.40000000005,0.03461111111111113,False,False
71,1997-10-19,1997-11-05,18,0.226,51062.40000000004,0.03283333333333335,False,False
72,1997-11-12,1997-11-19,8,0.261,6393.600000000006,0.009250000000000008,False,False
73,1997-11-26,1997-11-27,2,0.269,691.2000000000006,0.0040000000000000036,False,False
74,2002-09-05,2002-09-05,1,0.262,1036.8000000000009,0.01200000000000001,False,False
75,2003-09-14,2003-09-14,1,0.272,172.80000000000015,0.0020000000000000018,False,True
76,2003-09-16,2003-09-21,6,0.241,14083.200000000012,0.02716666666666669,True,False
77,2003-09-25,2003-09-25,1,0.256,1555.2000000000014,0.018000000000000016,True,False
78,2003-09-30,2003-10-04,5,0.262,3888.000000000003,0.009000000000000008,False,False
79,2003-10-11,2003-10-21,11,0.251,14256.000000000013,0.015000000000000013,False,False
80,2006-06-22,2006-06-23,2,0.273,172.80000000000015,0.0010000000000000009,False,False
81,2006-06-29,2006-07-12,14,0.222,36547.200000000026,0.03021428571428574,False,False
82,2006-07-14,2006-07-25,12,0.188,73353.60000000002,0.07075000000000002,False,False
83,2006-08-07,2006-08-12,6,0.16,46051.20000000001,0.08883333333333336,False,False
84,2006-08-19,2006-08-20,2,0.261,1814.4000000000015,0.01050000000000001,False,False
85,2006-08-23,2006-08-23,1,0.268,518.4000000000004,0.006000000000000005,False,False
86,2006-08-27,2006-08-28,2,0.265,1209.600000000001,0.007000000000000006,False,False
87,2006-09-02,2006-09-13,12,0.233,29289.600000000017,0.028250000000000015,False,False
88,2006-09-16,2006-09-22,7,0.241,10713.60000000001,0.01771428571428573,False,False
89,2006-09-25,2006-09-25,1,0.273,86.40000000000008,0.0010000000000000009,False,False
90,2006-09-28,2006-09-28,1,0.264,864.0000000000008,0.010000000000000009,False,False
91,2006-10-03,2006-10-05,3,0.262,2419.200000000002,0.009333333333333341,False,False
92,2006-10-10,2006-10-10,1,0.269,432.0000000000004,0.0050000000000000044,False,False
93,2006-10-13,2006-10-18,6,0.252,8899.200000000008,0.01716666666666668,False,True
94,2006-10-20,2006-10-22,3,0.247,5356.800000000005,0.020666666666666684,True,False
95,2009-08-10,2009-09-02,24,0.212,73008.00000000003,0.03520833333333335,False,False
96,2009-09-04,2009-09-22,19,0.202,90288.00000000004,0.05500000000000002,False,True
97,2009-09-24,2009-10-06,13,0.19,58233.60000000001,0.05184615384615386,True,False
98,2009-10-08,2009-10-10,3,0.263,1382.4000000000012,0.005333333333333338,False,False
99,2009-10-12,2009-10-21,10,0.206,50889.60000000002,0.05890000000000003,False,False
100,2009-10-23,2009-10-26,4,0.232,9417.600000000006,0.027250000000000017,False,True
101,2009-10-28,2009-10-31,4,0.211,16934.40000000001,0.04900000000000002,True,False
102,2009-11-06,2009-11-12,7,0.241,13564.800000000012,0.022428571428571447,False,False
103,2009-11-18,2009-11-21,4,0.254,4320.000000000004,0.012500000000000011,False,False
104,2011-07-02,2011-07-08,7,0.25,9590.400000000009,0.01585714285714287,False,False
105,2011-07-12,2011-07-15,4,0.261,2764.8000000000025,0.008000000000000007,False,False
106,2011-07-28,2011-08-04,8,0.228,16416.00000000001,0.023750000000000014,False,False
107,2011-08-07,2011-08-26,20,0.219,62812.80000000003,0.036350000000000014,False,False
108,2011-08-31,2011-08-31,1,0.272,172.80000000000015,0.0020000000000000018,False,False
109,2011-09-02,2011-11-03,63,0.179,332294.40000000014,0.06104761904761907,False,False
110,2011-11-06,2011-12-16,41,0.202,183254.40000000008,0.05173170731707319,False,False
111,2012-01-16,2012-01-18,3,0.266,1296.0000000000011,0.0050000000000000044,False,False
112,2014-09-13,2014-09-14,2,0.27,518.4000000000004,0.0030000000000000027,False,False
113,2015-07-10,2015-07-12,3,0.259,2160.000000000002,0.00833333333333334,False,False
114,2015-07-21,2015-07-23,3,0.256,3801.6000000000035,0.01466666666666668,False,False
115,2015-08-08,2015-08-18,11,0.25,13564.800000000012,0.014272727272727286,False,False
116,2015-08-22,2015-08-23,2,0.261,1900.8000000000015,0.01100000000000001,False,False
117,2015-08-30,2015-08-30,1,0.27,345.6000000000003,0.0040000000000000036,False,False
118,2015-09-14,2015-09-15,2,0.266,1382.4000000000012,0.008000000000000007,False,True
119,2015-09-28,2015-10-05,8,0.258,8035.200000000007,0.01162500000000001,False,False
120,2017-06-26,2017-06-26,1,0.259,1296.0000000000011,0.015000000000000013,False,False
121,2017-08-25,2017-08-30,6,0.258,4838.400000000004,0.009333333333333341,False,False
122,2017-09-02,2017-09-08,7,0.264,3283.200000000003,0.005428571428571434,False,False
123,2017-10-13,2017-10-14,2,0.268,691.2000000000006,0.0040000000000000036,False,False
124,2017-10-16,2017-10-17,2,0.266,950.4000000000008,0.005500000000000005,False,False
125,2018-10-12,2018-10-13,2,0.263,1036.8000000000009,0.006000000000000005,False,False
126,2019-07-24,2019-07-27,4,0.247,7344.000000000006,0.02125000000000002,False,False
127,2019-07-30,2019-08-18,20,0.23,47433.60000000003,0.02745000000000002,False,False
128,2019-08-22,2019-09-28,38,0.194,190598.40000000008,0.05805263157894739,False,False
129,2020-08-05,2020-08-16,12,0.241,18576.00000000002,0.01791666666666668,False,False
130,2020-08-22,2020-08-25,4,0.255,3715.2000000000035,0.01075000000000001,False,False
131,2020-09-10,2020-09-23,14,0.245,24105.60000000002,0.019928571428571445,False,False
132,2022-07-14,2022-08-24,42,0.169,182390.40000000008,0.05026190476190478,False,False
133,2022-08-29,2022-09-08,11,0.233,23414.40000000002,0.024636363636363658,False,False
134,2022-09-16,2022-09-24,9,0.251,10713.60000000001,0.01377777777777779,False,False
135,2022-09-29,2022-09-29,1,0.272,172.80000000000015,0.0020000000000000018,False,False
136,2022-10-05,2022-10-16,12,0.252,13651.200000000012,0.013166666666666679,False,False
137,2022-10-18,2022-10-20,3,0.259,1468.8000000000013,0.005666666666666671,False,False
138,2023-08-25,2023-08-25,1,0.272,172.80000000000015,0.0020000000000000018,False,False
139,2023-09-04,2023-09-12,9,0.219,28771.200000000015,0.03700000000000002,False,False
140,2023-09-16,2023-09-17,2,0.254,3110.400000000003,0.018000000000000016,False,False
141,2023-10-01,2023-10-02,2,0.265,1123.200000000001,0.006500000000000006,False,False
142,2023-10-08,2023-10-11,4,0.268,1382.4000000000012,0.0040000000000000036,False,False
